,MODEL_NM,SERIAL_NO,SENSING_TIME,REGION,AUTONOMOUS_DISTRICT,ADMINISTRATIVE_DISTRICT,VISITOR_COUNT,REG_DTTM
0,SDOT001,00000003021,2023-08-10_23:45:00,traditional_markets,Dongjak-gu,Sang-do1-dong,196,2023-08-10 23:58:05
1,SDOT001,00000004004,2023-08-10_23:46:00,main_street,Seocho-gu,Banpo3-dong,16,2023-08-10 23:58:05
2,SDOT001,00000003020,2023-08-10_23:45:00,traditional_markets,Gangnam-gu,Nonhyeon1-dong,232,2023-08-10 23:58:05
3,SDOT001,00000003011,2023-08-10_23:44:00,traditional_markets,Gangnam-gu,Gaepo2-dong,225,2023-08-10 23:58:05
4,SDOT001,00000003005,2023-08-10_23:44:00,traditional_markets,Gangnam-gu,Yeoksam2-dong,117,2023-08-10 23:58:05
5,SDOT001,00000004001,2023-08-10_23:40:00,main_street,Seocho-gu,Seocho3-dong,8,2023-08-10 23:58:05
6,SDOT001,00000003039,2023-08-10_23:45:00,traditional_markets,Dongjak-gu,Sadang2-dong,147,2023-08-10 23:58:05
7,SDOT001,00000004005,2023-08-10_23:42:00,main_street,Seocho-gu,Yangjae1-dong,22,2023-08-10 23:58:05
8,SDOT001,00000003033,2023-08-10_23:45:00,traditional_markets,Dongjak-gu,Sadang2-dong,128,2023-08-10 23:58:05
9,SDOT001,00000002994,2023-08-10_23:44:00,traditional_markets,Dongjak-gu,Sang-do1-dong,130,2023-08-10 23:58:05
10,SDOT001,00000004046,2023-08-10_23:40:00,main_street,Gangnam-gu,Sinsa-dong,24,2023-08-10 23:58:05
11,SDOT001,00000004010,2023-08-10_23:45:00,main_street,Gangnam-gu,Yeoksam1-dong,55,2023-08-10 23:58:05
12,SDOT001,00000004009,2023-08-10_23:46:00,main_street,Gangnam-gu,Daechi4-dong,62,2023-08-10 23:58:05
13,SDOT001,00000004043,2023-08-10_23:40:00,parks,Seongdong-gu,Seongsu1ga1-dong,0,2023-08-10 23:58:04
14,SDOT001,00000004042,2023-08-10_23:47:00,main_street,Seongdong-gu,Seongsu1ga2-dong,0,2023-08-10 23:58:04
15,SDOT001,00000004031,2023-08-10_23:40:00,traditional_markets,Seodaemun-gu,Hongje3-dong,3,2023-08-10 23:58:04
16,SDOT001,00000003026,2023-08-10_23:45:00,traditional_markets,Guro-gu,Gu-ro4-dong,115,2023-08-10 23:58:04
17,SDOT001,00000003017,2023-08-10_23:45:00,traditional_markets,Guro-gu,Gu-ro4-dong,133,2023-08-10 23:58:04
18,SDOT001,00000002995,2023-08-10_23:44:00,traditional_markets,Gwangjin-gu,Junggok1-dong,167,2023-08-10 23:58:04
19,SDOT001,00000004033,2023-08-10_23:40:00,main_street,Gangdong-gu,Cheonho1-dong,12,2023-08-10 23:58:04
20,SDOT001,00000003041,2023-08-10_23:45:00,traditional_markets,Guro-gu,Gu-ro4-dong,162,2023-08-10 23:58:04
21,SDOT001,00000004045,2023-08-10_23:42:00,parks,Seoul_Grand_Park,valet_parking1,0,2023-08-10 23:58:04
22,SDOT001,00000004002,2023-08-10_23:46:00,main_street,Seocho-gu,Seocho4-dong,26,2023-08-10 23:58:04
23,SDOT001,00000004050,2023-08-10_23:46:00,public_facilities,Seodaemun-gu,Cheonyeon-dong,0,2023-08-10 23:58:04
24,SDOT001,00000002992,2023-08-10_23:44:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,196,2023-08-10 23:58:04
25,SDOT001,00000003038,2023-08-10_23:45:00,traditional_markets,Mapo-gu,Seogyo-dong,188,2023-08-10 23:58:04
26,SDOT001,00000004049,2023-08-10_23:42:00,traditional_markets,Seodaemun-gu,Hongje3-dong,5,2023-08-10 23:58:04
27,SDOT001,00000004034,2023-08-10_23:45:00,parks,Songpa-gu,Jamsil6-dong,0,2023-08-10 23:58:04
28,SDOT001,00000003003,2023-08-10_23:44:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,199,2023-08-10 23:58:04
29,SDOT001,00000004032,2023-08-10_23:44:00,main_street,Mapo-gu,Mangwon-dong1,16,2023-08-10 23:58:04
30,SDOT001,00000003016,2023-08-10_23:45:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,190,2023-08-10 23:58:04
31,SDOT001,00000003008,2023-08-10_23:44:00,traditional_markets,Yangcheon-gu,Mok3-dong,138,2023-08-10 23:58:04
32,SDOT001,00000003002,2023-08-10_23:44:00,traditional_markets,Mapo-gu,Mangwon-dong1,128,2023-08-10 23:58:04
33,SDOT001,00000003000,2023-08-10_23:44:00,traditional_markets,Guro-gu,Gocheok2-dong,123,2023-08-10 23:58:03
34,SDOT001,00000002993,2023-08-10_23:44:00,traditional_markets,Dobong-gu,Chang2-dong,125,2023-08-10 23:58:03
35,SDOT001,00000004006,2023-08-10_23:40:00,parks,Gangdong-gu,Amsa3-dong,0,2023-08-10 23:58:03
36,SDOT001,00000003013,2023-08-10_23:44:00,traditional_markets,Dobong-gu,Chang2-dong,123,2023-08-10 23:58:03
37,SDOT001,00000003010,2023-08-10_23:44:00,traditional_markets,Dobong-gu,Chang2-dong,152,2023-08-10 23:58:03
