,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,점포수,일 수,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수
0,2020,1,골목상권,2110949,한남IC,68339080.0,118572024.0,139963422.0,118603505.0,166190838.0,121688284.0,6.0,91.0,9746.0,4010.0,0.0,4010.0,13843.0,62.0,5.0,264.0,180.0,72.0,62.0,49.0,1867.0,3613246.0,651253.0,670268.0,551890.0,595680.0,742045.0,402112.0,523202.0,537854.0,536054.0,543673.0,548862.0,488035.0,435567.0,12162.0,7678.0,4482.0,41.0,2351.0,3690.0,3261.0,1910.0,907.0,23.0,1063.0,2371.0,2209.0,1313.0,699.0,18.0,1288.0
1,2020,1,골목상권,2110951,신사은행나무공원,25849885.0,18145653.0,21966129.0,23851846.0,51569126.0,42414494.0,3.0,91.0,6882.0,3713.0,0.0,3713.0,13198.0,124.0,16.0,512.0,350.0,128.0,86.0,71.0,131.0,4247010.0,764009.0,779367.0,669706.0,714063.0,856726.0,463140.0,623820.0,653405.0,644003.0,655218.0,653577.0,541466.0,475526.0,12927.0,7220.0,5705.0,52.0,3507.0,3777.0,2858.0,1670.0,1061.0,15.0,1315.0,2106.0,1920.0,1102.0,763.0,37.0,2192.0
2,2020,1,골목상권,2110952,논현목련공원,48522054.0,34719845.0,28733896.0,28127470.0,59505131.0,47412961.0,3.0,91.0,9735.0,6191.0,0.0,6191.0,10754.0,200.0,25.0,911.0,1053.0,147.0,159.0,84.0,141.0,3517712.0,842405.0,731064.0,467548.0,464631.0,590584.0,421481.0,519164.0,527774.0,519642.0,522968.0,516841.0,464477.0,446849.0,10639.0,6885.0,3752.0,21.0,2104.0,3370.0,2518.0,1670.0,954.0,15.0,1135.0,2250.0,1740.0,1096.0,649.0,6.0,969.0
3,2020,1,골목상권,2110954,국기원,9442457.0,15310424.0,20250099.0,22801289.0,37691665.0,24498449.0,3.0,91.0,4113.0,2848.0,0.0,2848.0,23832.0,55.0,6.0,313.0,228.0,70.0,49.0,50.0,69.0,4802954.0,517757.0,781094.0,830970.0,942960.0,1217405.0,512768.0,704409.0,737016.0,723739.0,747204.0,754434.0,638291.0,497859.0,23199.0,12840.0,10356.0,110.0,5238.0,7616.0,5998.0,2944.0,1290.0,31.0,1823.0,3964.0,3878.0,2178.0,968.0,79.0,3415.0
4,2020,1,골목상권,2110955,논현초등학교,603497849.0,397426434.0,301122740.0,374157808.0,864243551.0,655548321.0,30.0,91.0,26242.0,16591.0,0.0,16591.0,28811.0,573.0,117.0,3287.0,2048.0,457.0,402.0,272.0,393.0,10834158.0,2607447.0,2292547.0,1450459.0,1441324.0,1782971.0,1259409.0,1591900.0,1620944.0,1598904.0,1604460.0,1591066.0,1436851.0,1390031.0,25391.0,16658.0,8723.0,83.0,5578.0,7708.0,5841.0,3882.0,2292.0,48.0,2817.0,5039.0,4258.0,2826.0,1672.0,35.0,2761.0
5,2020,1,골목상권,2110957,언북중학교,85537061.0,97361507.0,108198922.0,85445176.0,164816484.0,116423009.0,6.0,91.0,5892.0,3582.0,0.0,3582.0,29941.0,144.0,12.0,407.0,732.0,233.0,95.0,124.0,224.0,4168522.0,675037.0,865691.0,752055.0,752458.0,747291.0,375992.0,646201.0,692599.0,666968.0,683719.0,656415.0,438357.0,384266.0,28698.0,17182.0,11508.0,72.0,5858.0,8514.0,6766.0,4137.0,3343.0,15.0,2276.0,4756.0,4609.0,3001.0,2528.0,57.0,3582.0
6,2020,1,골목상권,2110958,역삼역 4번,31204494.0,48523743.0,60687478.0,42950998.0,52922097.0,24637728.0,3.0,91.0,6532.0,4335.0,0.0,4335.0,43230.0,150.0,32.0,902.0,553.0,176.0,92.0,77.0,47.0,4576283.0,585583.0,887394.0,846776.0,892355.0,948905.0,415272.0,713272.0,756694.0,735726.0,752302.0,724035.0,489793.0,404461.0,42245.0,28666.0,13570.0,63.0,7659.0,13522.0,11576.0,6973.0,2443.0,22.0,3663.0,8770.0,8848.0,5674.0,1692.0,41.0,3996.0
7,2020,1,골목상권,2110959,신구중학교,9880662.0,19241615.0,15748807.0,20893700.0,28550304.0,20491131.0,3.0,91.0,3479.0,1589.0,0.0,1589.0,12749.0,59.0,9.0,90.0,59.0,58.0,47.0,148.0,451.0,2452331.0,315076.0,445658.0,454017.0,478259.0,525374.0,233944.0,359511.0,385579.0,373146.0,384098.0,381794.0,307239.0,260961.0,12486.0,6517.0,5961.0,139.0,2815.0,3808.0,2504.0,1783.0,1429.0,50.0,1173.0,2082.0,1655.0,873.0,684.0,89.0,1642.0
8,2020,1,골목상권,2110960,은광여고,22818698.0,30460446.0,33399712.0,36507454.0,76827591.0,52858894.0,3.0,91.0,7333.0,3747.0,0.0,3747.0,27065.0,105.0,71.0,674.0,412.0,98.0,202.0,53.0,734.0,2752372.0,498531.0,587614.0,448323.0,439528.0,498570.0,279805.0,420107.0,437152.0,426581.0,435192.0,418099.0,320171.0,295070.0,25547.0,18368.0,7175.0,56.0,2951.0,5943.0,6854.0,7171.0,2568.0,40.0,1640.0,3961.0,5282.0,5652.0,1794.0,16.0,1311.0
9,2020,1,골목상권,2110961,언주역 3번,65430598.0,82951402.0,134410691.0,89641621.0,136837977.0,88976461.0,6.0,91.0,12012.0,6883.0,0.0,6883.0,26812.0,234.0,23.0,1087.0,1000.0,282.0,197.0,133.0,1018.0,5633979.0,1103719.0,1180469.0,891511.0,887740.0,980822.0,589717.0,847123.0,882106.0,871212.0,878041.0,855123.0,674516.0,625861.0,25853.0,16841.0,9010.0,70.0,5483.0,7931.0,5602.0,3658.0,3106.0,29.0,2478.0,5132.0,4147.0,2743.0,2312.0,41.0,3005.0
