매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
125163.1502,2020,골목상권,2110949,한남IC,6,1,0,0,0,0,1,0,0,618,300,1683,5,0,5,17,8,10,7,65,396526,79731,57612,59407,58948,59700,60271,52877,47711,2,0,0,0,0,62126,42421,85100,91787,70027,46985,60207,57.0,5.0,259.0,163.0,64.0,52.0,42.0,1802.0,0,0,0,0
94688.22344,2020,골목상권,2110951,신사은행나무공원,3,1,0,0,0,0,1,0,0,1039,580,273,16,5,76,41,9,5,3,22,582009,129649,85107,89345,88383,89759,89112,74083,66223,2,0,0,0,1,29000,38359,139161,153097,110939,59120,81334,108.0,11.0,436.0,309.0,119.0,81.0,68.0,109.0,0,0,0,0
177736.4615,2020,골목상권,2110952,논현목련공원,3,1,0,0,0,0,1,0,0,879,583,117,27,1,131,89,23,8,2,3,235902,70687,34098,34125,34124,34019,33613,32730,33196,2,0,0,0,0,21629,19605,59950,59971,37953,21834,36587,173.0,24.0,780.0,964.0,124.0,151.0,82.0,138.0,0,0,0,0
34587.75458,2020,골목상권,2110954,국기원,3,1,0,0,0,0,1,0,0,497,335,636,3,0,28,2,3,0,0,1,540467,51576,75635,77314,77420,80311,84004,82246,63536,3,0,0,0,2,39798,53752,235048,117395,64711,35369,34193,52.0,6.0,285.0,226.0,67.0,49.0,50.0,68.0,0,0,0,0
221061.4832,2020,골목상권,2110955,논현초등학교,30,1,0,0,0,0,1,0,0,7080,4369,3430,175,41,975,495,132,140,68,107,2839662,749107,415057,418275,411498,411538,408607,386684,388001,10,0,0,0,2,190912,197875,719028,767691,470543,266093,418431,398.0,76.0,2312.0,1553.0,325.0,262.0,204.0,286.0,0,0,0,0
156661.2839,2020,골목상권,2110957,언북중학교,6,1,0,0,0,0,1,0,0,1816,1116,1251,51,1,145,166,105,44,40,31,977352,186377,150441,160073,154636,158291,152560,105859,95493,8,0,0,0,3,94815,48672,219065,281063,190583,98851,139117,93.0,11.0,262.0,566.0,128.0,51.0,84.0,193.0,0,0,0,0
114302.1758,2020,골목상권,2110958,역삼역 4번,3,1,0,0,0,0,1,0,0,858,528,994,29,6,161,60,19,6,27,11,477623,71759,75865,81149,78223,79799,75255,47320,40011,9,0,0,0,2,73119,20707,123771,135925,88239,51344,57636,121.0,26.0,741.0,493.0,157.0,86.0,50.0,36.0,0,0,0,0
36192.9011,2020,골목상권,2110959,신구중학교,3,1,0,0,0,0,1,0,0,365,166,271,2,0,0,0,0,0,26,56,121462,20245,17793,18829,18324,18910,18504,14824,14276,8,0,0,0,0,35959,17848,18659,24404,22117,14353,24079,57.0,9.0,90.0,59.0,58.0,47.0,122.0,395.0,0,0,0,0
83584.97436,2020,골목상권,2110960,은광여고,3,1,0,0,0,0,1,0,0,719,417,1522,16,22,125,28,4,23,3,34,119943,30420,17692,18240,17917,18057,17336,15266,15436,4,0,0,0,1,25543,15097,19215,25724,22262,14016,23628,89.0,49.0,549.0,384.0,94.0,179.0,50.0,700.0,0,0,0,0
119836.2601,2020,골목상권,2110961,언주역 3번,6,1,0,0,0,0,1,0,0,2169,1298,962,52,0,217,168,85,41,19,82,782811,153989,117576,121546,121227,121549,118337,94532,88046,3,1,0,0,1,63031,71713,157707,207178,149569,86775,109870,182.0,23.0,870.0,832.0,197.0,156.0,114.0,936.0,0,0,0,0
38957.30037,2020,골목상권,2110963,역삼월드메르디앙아파트,3,1,0,0,0,0,1,0,0,1724,847,780,43,3,184,115,87,10,30,114,424152,125142,62875,63050,61860,62574,61564,55440,56790,1,0,0,0,1,40391,57194,72797,90346,79226,51140,73450,176.0,56.0,774.0,784.0,339.0,191.0,133.0,1148.0,0,0,0,0
117776.2543,2020,골목상권,2110965,언주역 6번,7,1,0,0,0,0,1,0,0,2309,1512,1139,64,26,366,202,48,44,7,1,805042,168558,120453,125145,123193,123491,119825,97117,95819,2,0,0,0,2,65107,44913,181511,244922,150260,84984,98452,217.0,58.0,1311.0,770.0,228.0,113.0,63.0,398.0,0,0,0,0
73069.81868,2020,골목상권,2110966,논현2동주민센터,6,1,0,0,0,0,1,0,0,2887,1539,1637,60,28,154,199,70,147,192,53,2182390,365530,328801,348279,343812,349006,336595,252962,222935,9,0,0,0,2,93544,164361,446229,551826,424985,255791,339198,99.0,32.0,241.0,295.0,117.0,171.0,234.0,1417.0,0,0,0,0
