매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,area,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
125163.1502,2020,골목상권,2110949,한남IC,1,0,0,0,0,1,0,0,62126,0.9657792229,99.4752599556,48.2889611435,270.9010720149,0.8048160191,0.0,0.8048160191,2.7363744648,1.2877056305,1.6096320381,1.1267424267,10.4626082478,63826.0953546019,12833.7572031034,9273.4120979944,9562.3410488362,9488.4589382867,9609.503267553,9701.4132569295,8511.2513279464,7679.7154170557,0.3219264076,0.0,0.0,0.0,0.0,6828.2200688923,13697.9686443679,14774.3295882561,11271.7702733155,7562.8561310884,9691.1116118855,9.1749026173,0.8048160191,41.6894697872,26.2370022213,10.3016450439,8.3700865982,6.7604545601,290.0556932685,0.0,0.0,0.0,0.0
94688.22344,2020,골목상권,2110951,신사은행나무공원,1,0,0,0,0,1,0,0,29000,1.0344827586,358.275862069,200.0,94.1379310345,5.5172413793,1.724137931,26.2068965517,14.1379310345,3.1034482759,1.724137931,1.0344827586,7.5862068966,200692.7586206896,44706.5517241379,29347.2413793104,30808.6206896552,30476.8965517241,30951.3793103448,30728.275862069,25545.8620689655,22835.5172413793,0.6896551724,0.0,0.0,0.0,0.3448275862,13227.2413793103,47986.5517241379,52792.0689655172,38254.8275862069,20386.2068965517,28046.2068965517,37.2413793103,3.7931034483,150.3448275862,106.5517241379,41.0344827586,27.9310344828,23.4482758621,37.5862068966,0.0,0.0,0.0,0.0
177736.4615,2020,골목상권,2110952,논현목련공원,1,0,0,0,0,1,0,0,21629,1.3870266771,406.3988164039,269.5455175921,54.0940404087,12.4832400943,0.4623422257,60.5668315687,41.1484580887,10.6338711915,3.6987378057,0.9246844514,1.3870266771,109067.4557307319,32681.5849091498,15764.9452124463,15777.4284525406,15776.9661103149,15728.4201766147,15540.7092329742,15132.4610476675,15347.9125248509,0.9246844514,0.0,0.0,0.0,0.0,9064.2193351519,27717.4164316427,27727.1256183827,17547.2744925794,10094.7801562717,16915.7150122521,79.9852050488,11.0962134172,360.6269360581,445.6979055897,57.3304359887,69.813676083,37.9120625087,63.8032271487,0.0,0.0,0.0,0.0
34587.75458,2020,골목상권,2110954,국기원,1,0,0,0,0,1,0,0,39798,0.753806724,124.8806472687,84.1750841751,159.8070254787,0.753806724,0.0,7.0355294236,0.502537816,0.753806724,0.0,0.0,0.251268908,135802.5528921051,12959.4451982512,19004.7238554701,19426.6043519775,19453.2388562239,20179.6572692095,21107.5933463993,20665.8626061611,15964.6213377557,0.753806724,0.0,0.0,0.0,0.502537816,13506.2063420272,59060.2542841349,29497.7134529373,16259.8623046384,8887.130006533,8591.6377707422,13.0659832152,1.5076134479,71.6116387758,56.7867732047,16.835016835,12.3121764913,12.5634453993,17.086285743,0.0,0.0,0.0,0.0
221061.4832,2020,골목상권,2110955,논현초등학교,1,0,0,0,0,1,0,0,190912,1.5714046262,370.8514917868,228.8488937311,179.6639289306,9.1665269863,2.1475863225,51.070650352,25.9281763326,6.9141803553,7.333221589,3.5618504861,5.6046765002,148741.9334562521,39238.3401776735,21740.749664767,21909.3090010057,21554.3286959437,21556.423902112,21402.8976701307,20254.5675494469,20323.5522125377,0.5238015421,0.0,0.0,0.0,0.1047603084,10364.7230137446,37662.7975192759,40211.7729634596,24647.1149011063,13937.9923734495,21917.480305062,20.8473013745,3.9808917197,121.102916527,81.3463794837,17.0235501173,13.7236004023,10.6855514583,14.9807241033,0.0,0.0,0.0,0.0
156661.2839,2020,골목상권,2110957,언북중학교,1,0,0,0,0,1,0,0,94815,0.632811264,191.5308759163,117.7028951115,131.9411485524,5.3788957443,0.105468544,15.292938881,17.5077783051,11.0741971207,4.6406159363,4.2187417603,3.2695248642,103079.8924220851,19656.910826346,15866.7932289195,16882.6662447925,16309.2337710278,16694.7212993725,16090.2810736698,11164.7946000105,10071.5076728366,0.8437483521,0.0,0.0,0.0,0.316405632,5133.3649738965,23104.4665928387,29643.3053841692,20100.5115224384,10425.6710436112,14672.467436587,9.8085745926,1.1601539841,27.6327585298,59.6951959078,13.4999736329,5.3788957443,8.8593576966,20.3554289933,0.0,0.0,0.0,0.0
114302.1758,2020,골목상권,2110958,역삼역 4번,1,0,0,0,0,1,0,0,73119,0.4102900751,117.3429614738,72.2110532146,135.9427782109,3.9661373925,0.8205801502,22.0189006961,8.2058015017,2.5985038089,0.8205801502,3.6926106757,1.504396942,65321.3255104692,9814.001832629,10375.5521820594,11098.2097676391,10698.0401810747,10913.5792338517,10292.1265334592,6471.6421176438,5472.0387313831,1.2308702252,0.0,0.0,0.0,0.2735267167,2831.9588615818,16927.3376277028,18589.5594852227,12067.8619784187,7021.9778716886,7882.4929224962,16.5483663617,3.5558473174,101.3416485455,67.424335672,21.4718472627,11.761648819,6.8381679181,4.923480901,0.0,0.0,0.0,0.0
36192.9011,2020,골목상권,2110959,신구중학교,1,0,0,0,0,1,0,0,35959,0.8342834895,101.5044912261,46.1636864206,75.3636085542,0.556188993,0.0,0.0,0.0,0.0,0.0,7.2304569093,15.5732918046,33777.9137350872,5630.0230818432,4948.1353764009,5236.2412747852,5095.8035540477,5258.7669290025,5145.8605634194,4122.472816263,3970.0770321755,2.2247559721,0.0,0.0,0.0,0.0,4963.4305737089,5188.9652103785,6786.6180928279,6150.6159793098,3991.4903084068,6696.2373814622,15.8513863011,2.5028504686,25.0285046859,16.4075752941,16.1294807976,13.070441336,33.9275285742,109.8473261214,0.0,0.0,0.0,0.0
83584.97436,2020,골목상권,2110960,은광여고,1,0,0,0,0,1,0,0,25543,1.1744900756,281.4861214423,163.2541205027,595.8579650002,6.2639470696,8.6129272208,48.9370864816,10.9619073719,1.5659867674,9.0044239126,1.1744900756,13.310887523,46957.2877109188,11909.3293661669,6926.3594722625,7140.8996593979,7014.4462279294,7069.2557647888,6786.9866499628,5976.5884978272,6043.1429354422,1.5659867674,0.0,0.0,0.0,0.3914966919,5910.425556904,7522.6089339545,10070.8609012254,8715.4993540305,5487.217633011,9250.2838351016,34.8432055749,19.1833379008,214.9316838273,150.3347296715,36.8006890342,70.0779078417,19.5748345926,274.0476842971,0.0,0.0,0.0,0.0
119836.2601,2020,골목상권,2110961,언주역 3번,1,0,0,0,0,1,0,0,63031,0.951912551,344.1163871746,205.9304151925,152.6233123384,8.249908775,0.0,34.4275039266,26.6535514271,13.4854278054,6.5047357649,3.0143897447,13.0094715299,124194.602655836,24430.6769684758,18653.678348749,19283.5271533055,19232.9171360124,19284.003109581,18774.41259063,14997.6995446685,13968.6820770732,0.4759562755,0.1586520918,0.0,0.0,0.1586520918,11377.4174612492,25020.5454458917,32869.2230807063,23729.4347225968,13767.03526836,17431.1053291238,28.8746807127,3.648998112,138.0273198902,131.9985404008,31.2544620901,24.7497263251,18.0863384684,148.4983579508,0.0,0.0,0.0,0.0
