매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,area,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
145014.0061,2020,발달상권,2120185,논현역,1,0,0,0,0,1,0,0,321182,1.6190197458,114.9504019528,72.9181585518,397.4070776071,1.6190197458,0.1868099707,9.4961735091,11.3020032256,4.7636542521,1.3076697947,1.0274548387,1.8058297165,96371.8701546164,17300.5647888113,14580.2379959026,15112.8332222852,14729.5614324589,15008.9980135873,14839.1877502475,11707.0695119901,10393.9822281448,5.1061391983,0.0311349951,0.3424849462,0.0,0.5292949169,5932.7110485644,21574.9014577405,25032.7540148576,17800.7796202776,11235.6856859973,14794.9760571888,238.1204426151,939.560747489,0.0934049853,0.0311349951
121841.5766,2020,발달상권,2120186,가로수길,1,0,0,0,0,1,0,0,256687,1.1687385805,131.9116277801,72.8513715147,253.9279355791,2.3374771609,0.0,8.8824132114,5.4541133754,3.2335100726,1.6751919653,1.9478976341,2.4543510189,85711.6644006124,13108.3771285651,12450.8837611566,12862.8251528126,12766.1315142567,12975.5305099206,13125.5965436504,11471.0912512126,10059.6835835083,3.6230895994,0.116873858,0.1558318107,0.0,0.4674954322,8813.5745090324,21145.1690190777,19350.4540549385,14044.2640258369,8878.0499207206,13480.1528710063,602.6405700328,0.0,0.0779159054,0.0
208337.069,2020,발달상권,2120187,신논현역,1,0,0,0,0,1,0,0,382392,2.0920939769,130.5989665056,91.9213791083,341.952760518,1.5429193079,0.1569070483,9.9897487395,4.6026067491,1.6736751815,0.2876629218,1.9090357539,1.0721981631,91383.8678633444,14743.0124061173,13281.8939726773,13877.6177325885,13692.4674156363,13982.4054896546,14098.5428565451,12195.208058746,10255.7584886713,5.6486537375,0.0784535241,0.1569070483,0.0,0.9675934643,6873.051737484,27254.2574112429,23105.1643339819,14841.3146718551,8985.3344212222,10324.7975899077,67.6792401515,1281.4075608276,0.0784535241,0.0261511747
29757.45055,2020,발달상권,2120188,압구정역,1,0,0,0,0,1,0,0,251745,1.6683548829,45.1647500447,23.1583546843,340.7813462035,0.7944547062,0.1191682059,2.2244731772,1.4697412064,0.516395559,0.5561182943,1.9066912948,1.9861367654,69536.3562334902,7134.640211325,10492.2838586665,11127.5695644402,10627.9369997418,10911.4381616318,10906.8700470714,8592.3057061709,6877.9518957675,14.2604619754,0.0397227353,0.6355637649,0.0397227353,0.2780591472,9273.749230372,12488.470476077,14570.0609743987,12885.5786609466,8592.2659834356,11726.191185525,1815.8056763789,1092.5738346343,0.2383364118,0.0397227353
150194.8635,2020,발달상권,2120190,강남을지병원,1,0,0,0,0,1,0,0,295195,1.1179051136,76.9999491861,44.9533359305,396.4498043666,1.6260438016,0.1693795627,7.6559562323,6.4702992937,1.4566642389,1.592167889,1.1179051136,0.0677518251,56489.371432443,8589.8812649266,8577.8891918901,9177.7638510137,8833.0086891716,9057.1994783109,8833.7200833347,6499.872965328,5509.8494215688,3.8957299412,0.0,0.1355036501,0.0,0.3387591253,3523.162655194,12473.8223885906,15326.7501143312,11397.4830196988,6136.7231829807,7631.4300716476,737.1398567049,0.0,0.2032554752,0.0
113693.0584,2020,발달상권,2120191,학동역,1,0,0,0,0,1,0,0,366286,1.4742578204,124.2471729741,81.9851154562,378.4474427087,2.1840856598,0.655225698,8.9274501346,13.9235460815,1.4196556789,1.0374406884,0.3549139197,4.0951606122,48530.7655766259,8876.1514226588,7374.6471336606,7694.2061667659,7556.7725766205,7648.6679807582,7394.4950120944,5671.6609425422,5190.2611620428,2.1021824476,0.109204283,0.1911074952,0.0,0.109204283,3296.2220778299,11119.753416729,13331.8772762268,8627.1656574371,5052.8002708266,7102.9741786473,476.2944802695,628.9620678923,0.1638064245,0.0273010707
125471.6653,2020,발달상권,2120192,뱅뱅사거리,1,0,0,0,0,1,0,0,317599,2.0466059402,206.6442274692,141.4047273449,864.6752666098,1.4483672808,0.409321188,13.0038192815,16.0894713145,3.2115970138,1.4483672808,4.6284780494,5.5100929159,63960.1195217869,10496.9474085246,10063.980050315,10519.9953400357,10285.9895654583,10507.9361081112,9913.4128256071,6615.4175548412,6053.4510499088,3.5264594662,0.0314862452,0.5667524142,0.0,0.5982386594,4285.0260863542,13264.9661995157,17531.2264837106,13265.4699794395,7764.9803683261,7848.4818906861,268.1998369012,0.0,0.0944587357,0.0
57528.77373,2020,발달상권,2120193,도산공원교차로,1,0,0,0,0,1,0,0,185023,1.1890413624,64.6406122482,32.5364954627,345.0381844419,1.729514709,0.0,4.0535500992,2.7023667328,2.1078460516,1.405230701,2.6483193981,3.6752187566,36732.6224307248,4564.945979689,5633.8401171746,6130.5351226604,5895.1589802349,6057.7874102139,5837.05809548,3932.7002588867,3245.5964934089,2.5942720635,0.0540473347,0.2702366733,0.0,0.0540473347,2534.4416640093,7370.8133583392,10063.0732395432,7586.1919869422,4134.837290499,5043.2648913919,497.7219048443,0.0,0.162142004,0.0
100576.0446,2020,발달상권,2120194,언주역(차병원),1,0,0,0,0,1,0,0,242446,2.0210686091,105.425538058,69.5825049702,520.8582529718,2.4747778887,0.3299703852,16.9109822393,12.9513376174,2.9697334664,1.0724037518,1.4848667332,2.7222556776,73184.9978964388,12445.9054799832,11159.3097019542,11738.1602501176,11472.6165826617,11600.4801069104,11304.0429621441,8338.929081115,7571.5417041321,3.9183983238,0.0412462981,0.1237388944,0.0,0.6186944722,3825.4291677322,16495.6732633246,20603.7220659446,14351.1957301832,8047.3589995298,9861.6599160225,459.9787169102,534.01582208,0.3299703852,0.0412462981
54335.50427,2020,발달상권,2120195,성수대교남단,1,0,0,0,0,1,0,0,126829,0.7096168857,35.8750758896,18.6865779908,442.4067050911,0.6307705651,0.4730779238,2.0500043365,0.9461558476,1.4192337715,1.8923116953,1.8134653746,0.0788463206,82051.8178019223,10795.0074509773,11802.6634287111,12725.0076875163,12384.3915823668,12748.4250447453,12836.2598459343,10803.2863146441,8751.7050516838,7.2538614986,0.0,0.7884632064,0.0,0.3153852825,8227.1404804895,17483.2254452846,19229.5137547406,14520.8903326526,9135.2924015801,13455.6765408542,2082.1736353673,0.0,0.2365389619,0.0
