기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대6_생활인구_비율,주간_생활인구_수,야간_생활인구_수,주중_생활인구_수,주말_생활인구_수
2020,1,골목상권,2110949,한남IC,0.111717768822221,196672,120123,295938,100588
2020,1,골목상권,2110951,신사은행나무공원,0.11843803102701161,277140,175220,441706,140306
2020,1,골목상권,2110952,논현목련공원,0.12190655441666455,103633,61582,169979,65926
2020,1,골목상권,2110954,국기원,0.12281045836286027,261652,227240,394684,145782
2020,1,골목상권,2110955,논현초등학교,0.1209513667471692,1307595,782959,2064975,774685
2020,1,골목상권,2110957,언북중학교,0.0925398423495322,537949,253025,776001,201352
2020,1,골목상권,2110958,역삼역 4번,0.08389880721824536,279645,126219,390291,87331
2020,1,골목상권,2110959,신구중학교,0.09672160840427459,66333,34881,92360,29100
2020,1,골목상권,2110960,은광여고,0.1107692820756526,57924,31600,89242,30702
2020,1,골목상권,2110961,언주역 3번,0.10241680303419344,411636,217186,600235,182578
2020,1,골목상권,2110963,역삼월드메르디앙아파트,0.12367028800995869,189016,109993,311923,112230
2020,1,골목상권,2110965,언주역 6번,0.10670250744681643,415888,220597,612107,192936
2020,1,골목상권,2110966,논현2동주민센터,0.10535834566690647,1161015,655845,1706493,475897
2020,1,골목상권,2110967,역삼역 8번,0.1057663776841322,339170,176264,503016,147425
2020,1,골목상권,2110971,선정릉역 4번,0.10625925709675997,418940,213232,636943,202278
2020,1,골목상권,2110972,강남세브란스병원미래의학연구센터,0.11918968951582762,103374,56420,165978,61442
2020,1,골목상권,2110974,언주중학교,0.11686428858864321,342871,196494,534568,191060
2020,1,골목상권,2110975,매봉역 1번,0.11136047051540009,142749,84834,205891,78395
2020,1,골목상권,2110976,언북초등학교,0.11429537510664817,380090,216222,562158,200866
2020,1,골목상권,2110977,논현로18길,0.11776673727844918,62771,36360,97626,33607
2020,1,골목상권,2110980,개포지구대옆,0.12354311258973143,293994,180335,470970,167462
2020,1,골목상권,2110981,국악고교사거리,0.12027053575004816,235164,141135,378004,146289
2020,1,골목상권,2110983,국립국악고등학교,0.12876368699442306,234652,151772,382482,146120
2020,1,골목상권,2110984,포이초등학교(개포목련어린이공원),0.11032903276642157,420809,216803,694472,270050
