기준_년월_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드
202112,A,골목상권,2110963,역삼월드메르디앙아파트,203260,443659,11680,11680640
202112,A,골목상권,2110972,강남세브란스병원미래의학연구센터,203786,443905,11680,11680650
202112,A,골목상권,2110969,베르사이유1아파트,203564,444385,11680,11680650
202112,A,골목상권,2111002,한국교통안전공단 강남자동차검사소,210597,441133,11680,11680700
202112,A,골목상권,2110993,개포지하차도 북측,205157,442012,11680,11680660
202112,A,골목상권,2110999,윗방죽마을공원,209174,441371,11680,11680700
202112,A,골목상권,2110956,언주역 8번,202759,445039,11680,11680640
202112,A,골목상권,2110992,도곡초등학교,204993,444495,11680,11680630
202112,A,골목상권,2110986,삼성중앙역 7번,204638,445688,11680,11680590
202112,A,골목상권,2110949,한남IC,201717,446819,11680,11680510
202112,A,골목상권,2110950,논현역 7번,202121,446015,11680,11680521
202112,A,골목상권,2110991,삼성중앙역 5번,204937,445877,11680,11680580
202112,A,골목상권,2110960,은광여고,203014,443099,11680,11680655
202112,A,골목상권,2110990,청담역 12번,204863,446773,11680,11680565
202112,A,골목상권,2110965,언주역 6번,203347,445201,11680,11680640
202112,A,골목상권,2110976,언북초등학교,204029,446915,11680,11680565
202112,A,골목상권,2110985,청담근린공원,204619,447061,11680,11680565
202112,A,골목상권,2110981,국악고교사거리,204328,441787,11680,11680690
202112,A,골목상권,2110977,논현로18길,204149,441990,11680,11680690
202112,A,골목상권,2110959,신구중학교,202862,447325,11680,11680545
202112,A,골목상권,2110962,도산공원북측,203102,447355,11680,11680545
202112,A,골목상권,2110967,역삼역 8번,203382,444993,11680,11680640
202112,A,골목상권,2110964,싸리고개근린공원,203308,443417,11680,11680655
202112,A,골목상권,2110975,매봉역 1번,203995,443091,11680,11680655
202112,A,골목상권,2110994,개포고등학교,205441,442634,11680,11680670
202112,A,골목상권,2110973,강남구청역 4번,203838,446606,11680,11680565
202112,A,골목상권,2110988,청담역 3번,204808,446522,11680,11680580
202112,A,골목상권,2110966,논현2동주민센터,203355,446590,11680,11680531
202112,A,골목상권,2110970,학동초등학교,203671,445806,11680,11680531
202112,A,골목상권,2110974,언주중학교,203957,446014,11680,11680590
202112,A,골목상권,2110954,국기원,202535,444783,11680,11680640
202112,A,골목상권,2110995,봉은사역 4번,205519,446418,11680,11680580
202112,A,골목상권,2110968,강남구청역 2번,203553,446134,11680,11680531
202112,A,골목상권,2110982,강남구보훈회관,204400,446173,11680,11680590
202112,A,골목상권,2110997,대청초등학교,207477,443642,11680,11680730
202112,A,골목상권,2110952,논현목련공원,202328,445762,11680,11680521
202112,A,골목상권,2110989,대치동아우편취급국,204813,444816,11680,11680630
202112,A,골목상권,2110951,신사은행나무공원,202246,446821,11680,11680510
202112,A,골목상권,2110961,언주역 3번,203036,445734,11680,11680531
202112,A,골목상권,2110987,영동대교남단,204718,447414,11680,11680565
202112,A,골목상권,2110979,청담초등학교,204196,447516,11680,11680565
202112,A,골목상권,2110996,대치2동주민센터,205642,444704,11680,11680610
