index,감귤_소매가_상품_10개,감귤_ 소매가_중품_10개,감귤_중도매가_상품_1kg,감귤_중도매가_중품_1kg,단감_소매가_상품_10개,단감_소매가_중품_10개,단감_중도매가_상품_1kg,단감_중도매가_중품_1kg,망고_소매가격_수입_상품_1개,망고_소매가_중품_1개,망고_중도매가_수입_상품_1kg,망고_중도매가_수입_중품_1kg,바나나 _소매가격_수입_상품_1kg,바나나_소매가격_수입_중품_1kg,바나나_중도매가_수입_상품_1kg,바나나_중도매가_수입_중품_1kg,배_소매가_신고_상품_10개,배_소매가_신고_중품_10개,배_중도매가_신고_상품_1kg,배_중도매가_신고_중품_1kg,복숭아_소매가격_백도_상품_10개,복숭아_소매가격_백도_중품_10개,복숭아_중도매가_백도_상품_1kg,복숭아_중도매가_백도_중품_1kg,사과_소매가격_후지_10개,사과_중도매가_후지_상품_1kg,사과_소매가_후지_중품_10개,사과_중도매가_후지_중품_1kg,오렌지_소매가격_수입_상품_10개,오렌지_소매가격_수입_중품_10개,오렌지_중도매가_ 수입_상품_1kg,오렌지_중도매가_수입_중품_1kg,자몽_소매가_수입_상품_10개,자몽_소매가_수입_중품_10개,파인애플_소매가_수입_상품_1개,파인애플_소매가_수입_중품_1개,파인애플_중도매가_수입_상품_1kg,파인애플_중도매가_수입_중품_1kg,포도_소매가_캠벨얼리_L과_1kg,포도_소매가_캠벨얼리_M과_1kg,포도_중도매가_캠벨얼리_L과_1kg,포도_중도매가_캠벨얼리_M과_1kg,포도_소매가_샤인머스켓_L과_1kg,포도_소매가_샤인머스켓_M과_1kg,포도_중도매가_샤인머스켓_L과_1kg,포도_중도매가_샤인머스켓_M과_1kg,아보카도_소매가격_수입_상품1개,생산자물가지수_총지수(2020=100),생산자물가지수_사과(2020=100),생산자물가지수_배(2020=100),생산자물가지수_복숭아(2020=100),생산자물가지수_포도(2020=100),생산자물가지수_감귤(2020=100),생산자물가지수_감(2020=100),소비자물가지수_총지수(2020=100),소비자물가지수_사과(2020=100),소비자물가지수_배(2020=100),소비자물가지수_복숭아(2020=100),소비자물가지수_포도(2020=100),소비자물가지수_감(2020=100),소비자물가지수_귤(2020=100),소비자물가지수_오렌지(2020=100),소비자물가지수_바나나(2020=100),소비자물가지수_망고(2020=100),소비자물가지수_아보카도(2020=100),소비자물가지수_파인애플(2020=100),수입물가지수_과일(2020=100),월달러환율(KRW),한국기준금리(%),세계식량물가지수_중간값(2015=100),세계식량물가상승률_중간값(%),세계식량물가상승률_가중평균(%),무역수지_망고,무역수지_사과,무역수지_아보카도,무역수지_오렌지,무역수지_자몽,무역수지_파인애플,무역수지_포도,수출액_망고,수출액_사과,수출액_아보카도,수출액_오렌지,수출액_자몽,수출액_파인애플,수출액_포도,수출량_망고,수출량_사과,수출량_아보카도,수출량_오렌지,수출량_자몽,수출량_파인애플,수출량_포도,수입액_망고,수입액_사과,수입액_아보카도,수입액_오렌지,수입액_자몽,수입액_파인애플,수입액_포도,수입량_망고,수입량_사과,수입량_아보카도,수입량_오렌지,수입량_자몽,수입량_파인애플,수입량_포도,무역수지_단감,무역수지_바나나,무역수지_배,무역수지_복숭아,수출액_단감,수출액_바나나,수출액_배,수출액_복숭아,수출량_단감,수출량_바나나,수출량_배,수출량_복숭아,수입액_단감,수입액_바나나,수입액_배,수입액_복숭아,수입량_단감,수입량_바나나,수입량_배,수입량_복숭아,무역수지_감귤,수출액_감귤,수출량_감귤,수입액_감귤,수입량_감귤
2011-01,2726.0,1819.0,1914.0,1514.0,11408.0,8318.0,3467.0,2933.0,,,,,2010,1270,1100,1000,28793,20763,3514,2714,,,,,28190.0,6175.0,14285.0,4175.0,,,,,,,,,,,,,,,,,,,,100.28,173.08,83.26,-,-,117.5,94.84,88.288,95.599,89.995,118.482,98.312,85.213,75.376,118.11,58.717,-,-,-,94.33,1119.25,2.75,86.5,4.630197,4.529574,-361503.0,212174.0,-72064.0,-9313256.0,-1062983.0,-3516594.0,-1333426.0,0.0,240633.0,0.0,0.0,0.0,0.0,0.0,0.0,107333.0,0.0,0.0,0.0,0.0,0.0,361503.0,28459.0,72064.0,9313256.0,1062983.0,3516594.0,1333426.0,73708.0,12600.0,17197.0,7005168.0,860359.0,5558484.0,344273.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02,2993.0,1735.0,1541.0,1196.0,10320.0,8760.0,3702.0,3169.0,,,,,2220,1580,1402,1285,29389,20941,3776,3000,,,,,29000.0,6275.0,14063.0,4333.0,,,,,,,,,,,,,,,,,,,,101.03,169.85,92.77,-,-,93.41,96.42,88.892,97.446,92.752,118.482,98.312,89.162,73.684,108.231,63.922,-,-,-,92.99,1124.65,2.75,87.1,5.230132,4.793995,-442042.0,-5380.0,-179448.0,-21208859.0,-520146.0,-2575379.0,-11872196.0,0.0,47927.0,0.0,2151.0,0.0,0.0,4905.0,0.0,25548.0,0.0,915.0,0.0,0.0,824.0,442042.0,53307.0,179448.0,21211010.0,520146.0,2575379.0,11877101.0,87380.0,25275.0,34858.0,17580485.0,411794.0,4688323.0,3280452.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03,2487.0,1692.0,1606.0,1287.0,9790.0,8161.0,3828.0,3335.0,,,,,2270,1810,1574,1470,29624,19992,3701,3017,,,,,24391.0,5949.0,13611.0,4261.0,,,,,,,,,,,,,,,,,,,,102.24,159.63,90.51,-,-,91.56,96.63,89.238,95.84,92.752,118.482,98.312,89.01,77.59,105.789,68.85,-,-,-,95.72,1095.5,3.0,87.6,5.407971,4.963879,-564919.0,38211.0,-105860.0,-52844772.0,-1188416.0,-4485447.0,-26779970.0,0.0,94744.0,0.0,480.0,0.0,0.0,0.0,0.0,34810.0,0.0,90.0,0.0,0.0,0.0,564919.0,56533.0,105860.0,52845252.0,1188416.0,4485447.0,26779970.0,127397.0,24800.0,18450.0,45113227.0,987775.0,6441881.0,9774640.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04,,,,,10000.0,8000.0,3844.0,3355.0,,,,,2460,1890,1756,1646,29326,20095,3536,2871,,,,,24330.0,5381.0,15213.0,4000.0,,,,,,,,,,,,,,,,,,,,102.87,149.47,87.14,-,-,91.56,96.63,89.325,97.205,92.752,118.482,98.312,89.01,77.59,107.787,74.263,-,-,-,95.9,1068.0,3.0,87.4,4.877606,4.955595,-579040.0,206144.0,-214816.0,-51884267.0,-1126155.0,-4699635.0,-39435812.0,0.0,206144.0,0.0,0.0,0.0,0.0,0.0,0.0,86241.0,0.0,0.0,0.0,0.0,0.0,579040.0,0.0,214816.0,51884267.0,1126155.0,4699635.0,39435812.0,131608.0,0.0,34402.0,43218809.0,927327.0,6369436.0,16600063.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05,,,,,,,,,,,,,2510,1920,1836,1731,29283,21149,3919,3099,,,,,24330.0,6000.0,14621.0,4067.0,,,,,,,,,,,,,,,,,,,,103.18,156.0,89.99,-,-,91.56,96.63,89.497,97.205,92.752,118.482,98.312,89.01,77.59,102.681,75.582,-,-,-,94.78,1078.0,3.0,88.2,5.772474,5.456322,-997258.0,86369.0,-259691.0,-17121990.0,-756324.0,-4798726.0,-19900181.0,0.0,86369.0,0.0,8882.0,0.0,0.0,16956.0,0.0,63110.0,0.0,3888.0,0.0,0.0,4428.0,997258.0,0.0,259691.0,17130872.0,756324.0,4798726.0,19917137.0,208606.0,0.0,42346.0,14679118.0,648494.0,6670194.0,9012619.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06,,,,,,,,,,,,,2440,1920,1716,1580,37921,24477,4483,3378,,,,,24130.0,6000.0,15459.0,4067.0,,,,,,,,,,,,,,,,,,,,102.95,156.83,90.0,-,-,91.56,96.63,89.67,97.205,92.752,118.482,98.312,89.01,77.59,102.681,73.778,-,-,-,88.51,1066.3,3.25,88.5,6.462374,5.876119,-2720764.0,68868.0,-170709.0,-3022437.0,-632504.0,-4841239.0,-540682.0,0.0,68868.0,0.0,0.0,0.0,0.0,4084.0,0.0,36348.0,0.0,0.0,0.0,0.0,372.0,2720764.0,0.0,170709.0,3022437.0,632504.0,4841239.0,544766.0,454414.0,0.0,27194.0,2621870.0,552927.0,6628575.0,281138.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07,,,,,,,,,,,,,2400,1820,1595,1419,42590,32583,6286,3952,,,,,25000.0,6000.0,15869.0,4067.0,,,,,,,,,,,8770.0,5930.0,7667.0,6667.0,,,,,,103.09,156.83,90.0,-,-,91.56,96.63,90.102,97.205,92.752,128.95,98.312,89.01,77.59,102.681,71.071,-,-,-,79.92,1054.0,3.25,88.7,6.19107,6.167843,-1070880.0,42025.0,-205322.0,-2666809.0,-1042808.0,-5051138.0,-201341.0,0.0,42025.0,0.0,0.0,0.0,0.0,101154.0,0.0,19970.0,0.0,0.0,0.0,0.0,12256.0,1070880.0,0.0,205322.0,2666809.0,1042808.0,5051138.0,302495.0,224720.0,0.0,33575.0,2467049.0,936188.0,6665687.0,87804.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08,,,,,,,,,,,,,2300,1680,1332,1227,50000,37179,6667,4333,19475.0,11125.0,4106.0,3188.0,25000.0,6000.0,16466.0,4067.0,,,,,,,,,,,7424.0,8403.0,6182.0,4955.0,,,,,,103.22,156.83,90.0,-,-,91.56,96.63,90.707,97.205,92.752,127.998,147.999,89.01,77.59,102.681,65.379,-,-,-,77.91,1064.9,3.25,89.7,6.573757,6.148679,-277227.0,42229.0,-207672.0,-2447551.0,-838968.0,-4070211.0,-820510.0,0.0,42229.0,0.0,0.0,0.0,0.0,598547.0,0.0,18744.0,0.0,0.0,0.0,0.0,125281.0,277227.0,0.0,207672.0,2447551.0,838968.0,4070211.0,1419057.0,87590.0,0.0,35206.0,2007016.0,728655.0,6233860.0,468744.0,,,,42745.0,,,,68527.0,,,,11675.0,,,,25782.0,,,,23000.0,,,,,
2011-09,,,,,,,,,,,,,2200,1610,1400,1300,31298,21536,2844,2360,17171.0,10000.0,2840.0,2320.0,,,,,,,,,,,,,,,5181.0,,3950.0,3180.0,,,,,,103.3,98.67,72.25,-,-,91.56,96.63,90.62,102.583,95.509,121.241,106.513,89.01,77.59,102.681,63.644,-,-,-,87.83,1180.9,3.25,90.1,6.059884,5.935167,-326411.0,370242.0,-183004.0,-2799619.0,-724213.0,-5417322.0,-1746104.0,0.0,370242.0,0.0,137.0,0.0,0.0,352708.0,0.0,172035.0,0.0,50.0,0.0,0.0,105257.0,326411.0,0.0,183004.0,2799756.0,724213.0,5417322.0,2098812.0,108469.0,0.0,45112.0,2158101.0,638072.0,7095347.0,835284.0,,,,72774.0,,,,72774.0,,,,10260.0,,,,0.0,,,,0.0,,,,,
2011-10,2962.0,2000.0,2067.0,1733.0,10000.0,6941.0,2467.0,2267.0,,,,,2240,1740,1400,1300,25664,16077,2410,2077,,,,,30000.0,4133.0,14707.0,3267.0,,,,,,,,,,,5286.0,,4490.0,3730.0,,,,,,103.2,106.48,62.77,-,-,98.86,87.27,90.448,94.797,79.789,121.241,107.188,106.781,83.383,102.681,65.935,-,-,-,97.04,1111.85,3.25,90.3,6.424348,5.706053,-322223.0,1047924.0,-121150.0,-2357620.0,-839459.0,-3407220.0,-3635764.0,0.0,1047924.0,0.0,1611.0,0.0,0.0,242822.0,0.0,484714.0,0.0,1080.0,0.0,0.0,72701.0,322223.0,0.0,121150.0,2359231.0,839459.0,3407220.0,3878586.0,85821.0,0.0,38962.0,1927712.0,646568.0,4859717.0,1657503.0,,,,13411.0,,,,13411.0,,,,2642.0,,,,0.0,,,,0.0,,,,,
