index,감귤 | 00 |  | 01 | 소매가격 > 과일류 > 감귤 > 감귤 > 상품 > 10개,감귤 | 00 |  | 01 | 소매가격 > 과일류 > 감귤 > 감귤 > 중품 > 10개,감귤 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 감귤 > 감귤 > 상품 > 1kg,감귤 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 감귤 > 감귤 > 중품 > 1kg,단감 | 00 |  | 01 | 소매가격 > 과일류 > 단감 > 단감 > 상품 > 10개,단감 | 00 |  | 01 | 소매가격 > 과일류 > 단감 > 단감 > 중품 > 10개,단감 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 단감 > 단감 > 상품 > 1kg,단감 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 단감 > 단감 > 중품 > 1kg,망고 | 00 |  | 01 | 소매가격 > 과일류 > 망고 > 수입 > 상품 > 1개,망고 | 00 |  | 01 | 소매가격 > 과일류 > 망고 > 수입 > 중품 > 1개,망고 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 망고 > 수입 > 상품 > 1kg,망고 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 망고 > 수입 > 중품 > 1kg,바나나 | 02 |  | 01 | 소매가격 > 과일류 > 바나나 > 수입 > 상품 > 1kg,바나나 | 02 |  | 01 | 소매가격 > 과일류 > 바나나 > 수입 > 중품 > 1kg,바나나 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 바나나 > 수입 > 상품 > 1kg,바나나 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 바나나 > 수입 > 중품 > 1kg,배 | 01 |  | 01 | 소매가격 > 과일류 > 배 > 신고 > 상품 > 10개,배 | 01 |  | 01 | 소매가격 > 과일류 > 배 > 신고 > 중품 > 10개,배 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 배 > 신고 > 상품 > 1kg,배 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 배 > 신고 > 중품 > 1kg,복숭아 | 01 |  | 01 | 소매가격 > 과일류 > 복숭아 > 백도 > 상품 > 10개,복숭아 | 01 |  | 01 | 소매가격 > 과일류 > 복숭아 > 백도 > 중품 > 10개,복숭아 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 복숭아 > 백도 > 상품 > 1kg,복숭아 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 복숭아 > 백도 > 중품 > 1kg,사과 | 05 | 1 | 01 | 소매가격 > 과일류 > 사과 > 후지 > 상품 > 10개,사과 | 05 | 1 | 02 | 중도매인 판매가격 > 과일류 > 사과 > 후지 > 상품 > 1kg,사과 | 05 | 2 | 01 | 소매가격 > 과일류 > 사과 > 후지 > 중품(일반 소비용) > 10개,사과 | 05 | 2 | 02 | 중도매인 판매가격 > 과일류 > 사과 > 후지 > 중품(일반 소비용) > 1kg,오렌지 | 02 |  | 01 | 소매가격 > 과일류 > 오렌지 > 수입 > 상품 > 10개,오렌지 | 02 |  | 01 | 소매가격 > 과일류 > 오렌지 > 수입 > 중품 > 10개,오렌지 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 오렌지 > 수입 > 상품 > 1kg,오렌지 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 오렌지 > 수입 > 중품 > 1kg,자몽 | 00 |  | 01 | 소매가격 > 과일류 > 자몽 > 수입 > 상품 > 10개,자몽 | 00 |  | 01 | 소매가격 > 과일류 > 자몽 > 수입 > 중품 > 10개,파인애플 | 02 |  | 01 | 소매가격 > 과일류 > 파인애플 > 수입 > 상품 > 1개,파인애플 | 02 |  | 01 | 소매가격 > 과일류 > 파인애플 > 수입 > 중품 > 1개,파인애플 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 파인애플 > 수입 > 상품 > 1kg,파인애플 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 파인애플 > 수입 > 중품 > 1kg,포도 | 01 |  | 01 | 소매가격 > 과일류 > 포도 > 캠벨얼리 > L과 > 1kg,포도 | 01 |  | 01 | 소매가격 > 과일류 > 포도 > 캠벨얼리 > M과 > 1kg,포도 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 캠벨얼리 > L과 > 1kg,포도 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 캠벨얼리 > M과 > 1kg,포도 | 12 |  | 01 | 소매가격 > 과일류 > 포도 > 샤인머스켓 > L과 > 1kg,포도 | 12 |  | 01 | 소매가격 > 과일류 > 포도 > 샤인머스켓 > M과 > 1kg,포도 | 12 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 샤인머스켓 > L과 > 1kg,포도 | 12 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 샤인머스켓 > M과 > 1kg
2009-1,"2,651","1,774","1,417","1,232","10,265","7,080","3,256","2,586",,,,,"2,330","1,730","1,567","1,481","17,586","11,772","2,088","1,698",,,,,"16,308","3,411","10,649","2,923","9,439","7,368","2,863","2,719",,,,,,,,,,,,,,
2009-10,"3,267","3,006","1,500","1,100","8,400","5,638","1,600","1,200",,,,,"2,860","2,350","1,563","1,483","19,515","10,072","1,730","1,375",,,,,"12,275","2,107","10,000","1,747","10,684","8,000","3,053","2,907",,,,,,,"4,408",,"3,333","2,610",,,,
2009-11,"2,104","1,820","1,257",833,"7,905","5,596","1,886","1,371",,,,,"2,820","2,120","1,318","1,247","20,278","10,300","1,724","1,321",,,,,"13,283","2,740","8,983","2,152","10,234","8,000","2,968","2,540",,,,,,,"4,453",,"2,800","2,000",,,,
2009-12,"1,687","1,400","1,265",933,"9,101","5,893","2,392","1,832",,,,,"2,500","1,810","1,188","1,057","19,373","10,233","1,898","1,489",,,,,"14,341","3,451","10,277","2,683","9,990","8,000","2,968","2,635",,,,,,,,,,,,,,
2009-2,"2,773","1,800","1,457","1,207","8,246","6,781","2,517","1,903",,,,,"2,590","1,810","1,586","1,494","18,042","12,315","2,113","1,707",,,,,"14,730","2,993","11,461","2,477","9,672","8,100","2,881","2,797",,,,,,,,,,,,,,
2009-3,"3,036","2,266","1,531","1,213","10,703","8,010","3,185","2,627",,,,,"2,770","2,140","1,759","1,659","16,640","12,825","1,900","1,652",,,,,"17,970","4,142","10,951","3,012","10,216","8,500","3,235","3,129",,,,,,,,,,,,,,
2009-4,,,,,"13,760","9,000","3,400","2,800",,,,,"2,940","2,420","1,861","1,761","17,874","14,555","2,206","1,879",,,,,"21,723","4,333","11,856","3,464","10,150","8,500","2,992","2,864",,,,,,,,,,,,,,
2009-5,,,,,,,,,,,,,"2,960","2,420","1,920","1,820","21,392","17,400","2,575","2,221",,,,,"24,950","4,333","12,597","3,600","11,081","8,500","2,795","2,670",,,,,,,,,,,,,,
2009-6,,,,,,,,,,,,,"2,930","2,410","1,920","1,820","27,076","20,724","2,948","2,670",,,,,"24,950","4,333","13,903","3,600","9,623","8,023","2,573","2,462",,,,,,,,,,,,,,
2009-7,,,,,,,,,,,,,"2,990","2,340","1,893","1,769","34,588","26,620","3,333","3,000","16,840","14,944","5,000","3,533","24,950","4,333","16,414","3,600","10,566","8,000","3,002","2,862",,,,,,,"6,850","6,683","5,232","4,063",,,,
2009-8,,,,,,,,,,,,,"3,120","2,280","1,714","1,587","33,226","25,000","3,230","2,896","16,279","14,000","2,629","1,733",,"3,846","15,223","3,165","11,240","8,000","3,598","3,487",,,,,,,"4,747","3,230","2,495","1,867",,,,
2009-9,,,,,,,,,,,,,"2,940","2,320","1,620","1,540","18,556","10,000","1,903","1,569","14,240",,"3,000","2,082",,,,,"10,571","8,000","3,258","3,109",,,,,,,"3,873","3,980","3,073","2,473",,,,
2010-1,"2,009","1,400","1,540","1,157","9,073","5,987","2,597","1,997",,,,,"2,590","1,730","1,281","1,051","22,111","13,250","2,200","1,757",,,,,"16,273","3,963","11,832","2,987","10,031","8,000","2,667","2,333",,,,,,,,,,,,,,
2010-10,,,,,,,,,,,,,"1,990","1,650","1,252","1,133","26,516","19,244","2,473","2,092",,,,,,,,,"10,000","8,000","3,444","2,778",,,,,,,"4,712",,"3,724","2,819",,,,
2010-11,"2,874","2,021","1,518","1,152","9,891","7,840","2,994","2,530",,,,,"2,020","1,270","1,100","1,000","28,017","19,667","2,909","2,206",,,,,"14,619","4,479","11,753","3,321","10,000","8,000","3,444","2,778",,,,,,,"4,639",,"2,680","1,850",,,,
2010-12,"2,718","2,000","1,751","1,403","10,000","7,873","3,432","2,899",,,,,"1,970","1,370","1,100","1,000","28,868","19,681","3,432","2,632",,,,,"20,000","6,435","12,872","4,000","10,000","8,000","3,444","2,778",,,,,,,,,,,,,,
2010-2,"2,254","1,400","1,547","1,147","9,790","6,384","2,779","2,242",,,,,"2,700","1,830","1,478","1,247","25,693","16,821","2,498","1,863",,,,,"16,958","4,137","13,849","3,190","9,250","8,000","2,404","2,175",,,,,,,,,,,,,,
2010-3,"2,500","1,965","1,926","1,361","10,182","6,000","2,959","2,400",,,,,"2,780","1,980","1,616","1,463","25,522","17,475","2,497","2,000",,,,,"19,950","4,000","13,922","3,133","8,771","7,859","2,765","2,535",,,,,,,,,,,,,,
2010-4,,,,,"9,157","6,000","3,086","2,486",,,,,"2,750","2,040","1,671","1,521","23,652","17,475","2,364","1,982",,,,,,"4,000","16,891","3,133","8,955","7,836","2,672","2,538",,,,,,,,,,,,,,
2010-5,,,,,,,,,,,,,"2,790","2,060","1,783","1,675","24,521","17,475","2,291","1,958",,,,,,"4,000","17,266","3,197","9,616","8,000","3,029","2,854",,,,,,,,,,,,,,
2010-6,,,,,,,,,,,,,"2,430","2,010","1,752","1,652","24,288","18,300","2,260","1,927",,,,,,"4,000","16,269","3,200","10,000","8,000","3,029","2,852",,,,,,,,,,,,,,
2010-7,,,,,,,,,,,,,"2,440","1,990","1,677","1,500","24,314","17,770","2,321","1,915",,,,,,"3,833","15,367","3,152","8,909","6,500","2,667","2,487",,,,,,,"9,122",,"8,400","7,520",,,,
2010-8,,,,,,,,,,,,,"2,410","1,950","1,632","1,432","24,404","17,931","1,970","1,561","22,120","15,706","5,364","4,327",,"3,703","14,950","3,036","10,000","8,000","2,737","2,495",,,,,,,"6,538",,"5,509","4,591",,,,
2010-9,,,,,,,,,,,,,"2,430","1,970","1,679","1,479","24,744","19,857","2,488","2,081","26,514","23,316","4,495","2,926",,"3,958","15,000","3,000","10,000","8,000","3,348","2,711",,,,,,,"5,091",,"4,042","3,263",,,,
2011-1,"2,726","1,819","1,914","1,514","11,408","8,318","3,467","2,933",,,,,"2,010","1,270","1,100","1,000","28,793","20,763","3,514","2,714",,,,,"28,190","6,175","14,285","4,175",,,,,,,,,,,,,,,,,,
2011-10,"2,962","2,000","2,067","1,733","10,000","6,941","2,467","2,267",,,,,"2,240","1,740","1,400","1,300","25,664","16,077","2,410","2,077",,,,,"30,000","4,133","14,707","3,267",,,,,,,,,,,"5,286",,"4,490","3,730",,,,
2011-11,"2,610","1,636","1,639","1,337","8,327","6,781","2,388","2,024",,,,,"2,240","1,790","1,373","1,273","26,282","16,642","2,594","2,261",,,,,"25,455","4,473","15,899","3,718",,,,,,,,,,,"6,070",,"5,164","4,545",,,,
2011-12,"2,512","1,500","1,757","1,394","8,135","7,417","2,371","2,025",,,,,"2,240","1,710","1,252","1,152","28,527","19,544","3,013","2,651",,,,,"24,762","5,356","16,095","4,270",,,,,,,,,,,,,,,,,,
2011-2,"2,993","1,735","1,541","1,196","10,320","8,760","3,702","3,169",,,,,"2,220","1,580","1,402","1,285","29,389","20,941","3,776","3,000",,,,,"29,000","6,275","14,063","4,333",,,,,,,,,,,,,,,,,,
2011-3,"2,487","1,692","1,606","1,287","9,790","8,161","3,828","3,335",,,,,"2,270","1,810","1,574","1,470","29,624","19,992","3,701","3,017",,,,,"24,391","5,949","13,611","4,261",,,,,,,,,,,,,,,,,,
2011-4,,,,,"10,000","8,000","3,844","3,355",,,,,"2,460","1,890","1,756","1,646","29,326","20,095","3,536","2,871",,,,,"24,330","5,381","15,213","4,000",,,,,,,,,,,,,,,,,,
2011-5,,,,,,,,,,,,,"2,510","1,920","1,836","1,731","29,283","21,149","3,919","3,099",,,,,"24,330","6,000","14,621","4,067",,,,,,,,,,,,,,,,,,
2011-6,,,,,,,,,,,,,"2,440","1,920","1,716","1,580","37,921","24,477","4,483","3,378",,,,,"24,130","6,000","15,459","4,067",,,,,,,,,,,,,,,,,,
2011-7,,,,,,,,,,,,,"2,400","1,820","1,595","1,419","42,590","32,583","6,286","3,952",,,,,"25,000","6,000","15,869","4,067",,,,,,,,,,,"8,770","5,930","7,667","6,667",,,,
2011-8,,,,,,,,,,,,,"2,300","1,680","1,332","1,227","50,000","37,179","6,667","4,333","19,475","11,125","4,106","3,188","25,000","6,000","16,466","4,067",,,,,,,,,,,"7,424","8,403","6,182","4,955",,,,
2011-9,,,,,,,,,,,,,"2,200","1,610","1,400","1,300","31,298","21,536","2,844","2,360","17,171","10,000","2,840","2,320",,,,,,,,,,,,,,,"5,181",,"3,950","3,180",,,,
2012-1,"2,664","1,810","2,250","1,750","9,367","7,877","2,550","2,217",,,,,"2,200","1,660","1,220","1,100","31,094","21,164","3,307","2,680",,,,,"26,750","5,713","17,441","4,397",,,,,,,,,,,,,,,,,,
2012-10,,,,,"10,482","6,853","2,471","1,975",,,,,"1,960","1,700","1,486","1,386","36,746","27,036","4,276","3,610",,,,,,,,,,,,,,,,,,,"6,479","5,246","4,276","3,248",,,,
2012-11,"2,543","2,210","1,609","1,223","8,070","6,344","2,052","1,718",,,,,"1,910","1,590","1,109","1,009","35,859","26,582","4,224","3,558",,,,,"23,816","4,667","16,838","4,000",,,,,,,,,,,"6,484","4,496","3,400","2,400",,,,
2012-12,"2,432","2,003","1,563","1,290","8,872","7,916","2,333","2,000",,,,,"1,830","1,540","1,205","1,105","37,678","27,949","4,456","3,789",,,,,"25,000","4,790","17,724","4,123",,,,,,,,,,,,,,,,,,
2012-2,"4,340","3,615","4,314","3,581","10,906","9,010","3,340","2,949",,,,,"2,110","1,660","1,429","1,229","29,380","21,313","2,911","2,371",,,,,"26,437","5,000","16,570","4,000",,,,,,,,,,,,,,,,,,
2012-3,"6,081","5,000","6,031","4,531","12,144","9,000","4,098","3,613",,,,,"2,260","1,800","1,805","1,557","28,797","21,411","3,137","2,562",,,,,"30,000","5,600","18,559","4,635",,,,,,,,,,,,,,,,,,
2012-4,,,,,"11,789","9,000","3,693","3,160",,,,,"2,250","1,870","1,900","1,600","31,631","21,456","3,000","2,533",,,,,"32,479","5,823","21,435","5,023",,,,,,,,,,,,,,,,,,
2012-5,,,,,,,,,,,,,"2,290","1,840","1,900","1,600","32,989","23,910","3,317","2,851",,,,,"35,667","6,267","24,631","5,467",,,,,,,,,,,,,,,,,,
2012-6,,,,,,,,,,,,,"2,220","1,700","1,660","1,455","35,140","27,493","3,780","3,223",,,,,"40,065","6,830","26,527","5,877",,,,,,,,,,,,,,,,,,
2012-7,,,,,,,,,,,,,"2,180","1,610","1,332","1,209","39,996","29,056","4,273","3,333","14,150","11,931","4,967","3,750","40,000","7,818","27,892","6,546",,,,,,,,,,,"8,244","7,875","5,833","4,783",,,,
2012-8,,,,,,,,,,,,,"2,100","1,630","1,364","1,232","36,099","26,417","4,333","3,333","15,090","11,802","4,282","2,973","36,023","8,000","28,523","6,667",,,,,,,,,,,"6,184","5,204","4,382","3,436",,,,
2012-9,,,,,,,,,,,,,"2,160","1,730","1,500","1,390","32,686","26,492","4,250","3,460","16,250","12,500","3,800","2,700","35,000","8,000","27,500","6,667",,,,,,,,,,,"5,006","4,688","3,410","2,760",,,,
2013-1,"2,462","1,950","1,527","1,318","9,818","7,871","2,455","2,121",,,,,"2,040","1,650","1,518","1,400","40,815","29,703","4,409","3,742",,,,,"24,742","4,743","18,736","4,076",,,,,,,,,,,,,,,,,,
2013-10,"3,188","2,682","2,289","1,656","10,573","7,624","2,696","2,326",,,,,"2,550","2,270","1,971","1,681","32,592","23,394","2,210","1,860",,,,,,,,,,,,,"20,857","17,369",,,,,"4,238","4,158","3,133","2,705",,,,
2013-11,"2,794","2,381","1,810","1,452","9,137","7,639","2,232","1,892",,,,,"2,420","2,260","1,695","1,514","30,962","19,645","3,000","2,641",,,,,"18,071","4,587","13,447","3,921",,,,,"25,526","17,428",,,,,"5,127","4,229","3,433","2,667",,,,
2013-12,"2,559","2,095","1,848","1,510","10,103","8,309","3,010","2,698",,,,,"2,390","2,300","1,310","1,076","30,970","17,464","2,984","2,651",,,,,"19,450","4,317","15,308","3,651",,,,,"28,643","17,934",,,,,,,,,,,,
2013-2,"2,478","2,029","1,516","1,311","11,008","7,772","2,677","2,323",,,,,"2,200","1,730","1,800","1,600","41,170","28,222","4,982","4,316",,,,,"25,521","5,316","18,950","4,649",,,,,,,,,,,,,,,,,,
2013-3,"2,731","2,246","1,523","1,223","9,581","7,869","3,000","2,533",,,,,"2,300","1,970","2,180","1,870","37,816","25,927","4,917","4,217",,,,,"23,910","5,300","20,274","4,583",,,,,,,,,,,,,,,,,,
2013-4,,,,,"10,050","7,900","3,000","2,533",,,,,"2,770","2,300","2,436","2,236","38,443","23,523","4,318","3,661",,,,,"23,199","5,000","20,776","4,333",,,,,,,,,,,,,,,,,,
2013-5,,,,,,,,,,,,,"2,870","2,320","2,462","2,262","35,876","24,886","3,873","3,438",,,,,"24,859","4,714","21,467","4,130",,,,,,,,,,,,,,,,,,
2013-6,,,,,,,,,,,,,"2,800","2,280","2,300","2,100","34,780","23,386","3,509","3,239",,,,,"23,596","4,404","18,500","3,867",,,,,"20,000","16,015",,,,,,,,,,,,
2013-7,,,,,,,,,,,,,"2,700","2,190","2,048","1,852","32,415","26,137","3,536","3,296",,"19,027","6,667","5,245","25,480","4,415","20,071","4,070",,,,,"20,730","15,748",,,,,"8,863","6,889","5,640","4,840",,,,
2013-8,,,,,,,,,,,,,"2,650","2,190","1,710","1,519","32,715","23,696","2,873","2,549","22,600","16,912","5,979","4,307","26,908","4,467","21,352","4,200",,,,,"23,869","15,858",,,,,"5,896","5,542","3,952","3,023",,,,
2013-9,,,,,,,,,,,,,"2,670","2,190","1,700","1,500","33,097","24,729","3,204","2,759","21,243","16,333","4,889","3,778","25,000","4,467","20,000","4,200",,,,,"25,958","16,030",,,,,"4,367","4,230","3,267","2,578",,,,
2014-1,"2,727","2,063","2,245","1,845","10,650","8,524","3,253","2,703",,,,,"2,440","2,330","1,600","1,300","33,095","19,686","3,267","2,887",,,,,"22,961","6,033","15,609","5,150",,,,,"27,500","17,645",,,,,,,,,,,,
2014-10,"2,639","2,000","1,436","1,127","10,487","7,781","1,946","1,603",,,,,"2,560","2,350","2,067","1,867","26,713","14,554","2,143","1,860",,,,,"21,690","3,810","18,250","3,429",,,,,,"15,190",,,,,"4,085","3,442","2,767","2,233",,,,
